tag,date,total_works,total_kudos,total_hits,total_words
Top Vi (League of Legends),2022-02-02,19,20625,400039,104886
Top Vander (League of Legends),2022-02-02,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-02-02,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-02-02,8,2938,65429,39468
Top Mel Medarda,2022-02-02,1,211,6101,810
Top Jinx (League of Legends),2022-02-02,1,429,16037,3924
Top Jayce (League of Legends),2022-02-02,20,33599,405892,82200
Top Ekko (League of Legends),2022-02-02,2,384,16972,27759
Top Caitlyn (League of Legends),2022-02-02,29,64130,992814,167161
Top Viktor (League of Legends),2022-02-01,18,14713,201906,58965
Top Vi (League of Legends),2022-02-01,19,20625,400039,104886
Top Vander (League of Legends),2022-02-01,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-02-01,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-02-01,8,2938,65429,39468
Top Mel Medarda,2022-02-01,1,211,6101,810
Top Jinx (League of Legends),2022-02-01,1,429,16037,3924
Top Jayce (League of Legends),2022-02-01,20,33599,405892,82200
Top Ekko (League of Legends),2022-02-01,2,384,16972,27759
Top Caitlyn (League of Legends),2022-02-01,29,64130,992814,167161
Top Viktor (League of Legends),2022-01-30,18,14713,201906,58965
Top Vi (League of Legends),2022-01-30,18,20231,392706,103080
Top Vander (League of Legends),2022-01-30,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-01-30,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-01-30,8,2938,65429,39468
Top Mel Medarda,2022-01-30,1,211,6101,810
Top Jinx (League of Legends),2022-01-30,1,429,16037,3924
Top Jayce (League of Legends),2022-01-30,20,33599,405892,82200
Top Ekko (League of Legends),2022-01-30,2,384,16972,27759
Top Caitlyn (League of Legends),2022-01-30,29,64130,992814,167161
Top Viktor (League of Legends),2022-01-29,17,14557,198908,57404
Top Vi (League of Legends),2022-01-29,18,20231,392706,103080
Top Vander (League of Legends),2022-01-29,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-01-29,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-01-29,8,2938,65429,39468
Top Mel Medarda,2022-01-29,1,211,6101,810
Top Jinx (League of Legends),2022-01-29,1,429,16037,3924
Top Jayce (League of Legends),2022-01-29,20,33599,405892,82200
Top Ekko (League of Legends),2022-01-29,2,384,16972,27759
Top Caitlyn (League of Legends),2022-01-29,28,63699,981999,162155
Top Viktor (League of Legends),2022-01-28,16,13750,190427,56281
Top Vi (League of Legends),2022-01-28,17,19703,377154,100970
Top Vander (League of Legends),2022-01-28,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-01-28,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-01-28,8,2938,65429,39468
Top Mel Medarda,2022-01-28,1,211,6101,810
Top Jinx (League of Legends),2022-01-28,1,429,16037,3924
Top Jayce (League of Legends),2022-01-28,20,33599,405892,82200
Top Ekko (League of Legends),2022-01-28,2,384,16972,27759
Top Caitlyn (League of Legends),2022-01-28,28,63699,981999,162155
Top Viktor (League of Legends),2022-01-27,16,13750,190427,56281
Top Vi (League of Legends),2022-01-27,17,19703,377154,100970
Top Vander (League of Legends),2022-01-27,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-01-27,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-01-27,8,2938,65429,39468
Top Mel Medarda,2022-01-27,1,211,6101,810
Top Jinx (League of Legends),2022-01-27,1,429,16037,3924
Top Jayce (League of Legends),2022-01-27,20,33599,405892,82200
Top Ekko (League of Legends),2022-01-27,2,384,16972,27759
Top Caitlyn (League of Legends),2022-01-27,27,63581,979095,157188
Top Viktor (League of Legends),2022-01-26,15,13373,183015,55254
Top Vi (League of Legends),2022-01-26,16,19163,366666,96886
Top Vander (League of Legends),2022-01-26,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-01-26,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-01-26,8,2938,65429,39468
Top Mel Medarda,2022-01-26,1,211,6101,810
Top Jinx (League of Legends),2022-01-26,1,429,16037,3924
Top Jayce (League of Legends),2022-01-26,20,33599,405892,82200
Top Ekko (League of Legends),2022-01-26,1,165,4112,13538
Top Caitlyn (League of Legends),2022-01-26,27,63581,979095,157188
Top Viktor (League of Legends),2022-01-25,15,13373,183015,55254
Top Vi (League of Legends),2022-01-25,16,19163,366666,96886
Top Vander (League of Legends),2022-01-25,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-01-25,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-01-25,8,2938,65429,39468
Top Mel Medarda,2022-01-25,1,211,6101,810
Top Jinx (League of Legends),2022-01-25,1,429,16037,3924
Top Jayce (League of Legends),2022-01-25,20,33599,405892,82200
Top Ekko (League of Legends),2022-01-25,1,165,4112,13538
Top Caitlyn (League of Legends),2022-01-25,26,62787,959604,148513
Top Viktor (League of Legends),2022-01-24,15,13373,183015,55254
Top Vi (League of Legends),2022-01-24,16,19163,366666,96886
Top Vander (League of Legends),2022-01-24,1,701,12140,4491
Top Silco (Arcane: League of Legends),2022-01-24,6,2476,34556,26049
Top Sevika (Arcane: League of Legends),2022-01-24,8,2938,65429,39468
